Text,labels
அர்யவுக்கு  ஒரு நல்ல வாய்ப்பு சிங்கம் சூரியா அண்ணவோடா நடிக்கிறதுக்கு சேம எஞ்சாய்மென் Arya,Non-sarcastic
"பள்ளியோ கல்லூரியோ படித்துக்கொண்டிருக்கும்போது அவசர அவசரமாக stalking செய்து, mental torture கொடுத்து, வீட்டில் வசவு வாங்கித்தந்து, ஊரில் பெண்ணின் பெயரைக் கெடுத்து வா, நாம் உடனே கல்யாணம் பண்ணாதான் இந்தியா வல்லரசாகும் என்று அடுத்தவேளை உணவைப் பற்றி கவலைப்படாமல் இழுத்துக்கொண்டு ஓடப்படும் எல்லா காதல்களுமே நாடகக்காதல்தான்...   #Shared",Non-sarcastic
தல தல தல தல தல தல தல தல தல தல தல தல தல தல தல தல தல தல தல தல,Non-sarcastic
All the best to the team....super ah na Oru kadhai Karu...ippa irukura ponnugaluku Oru lesson ah irukum,Non-sarcastic
"Bahut over mack up kiya hua hai, it is look like artificial....",Non-sarcastic
Apadilam nadakathu nadakavum koodathu.. Mass dialogue,Non-sarcastic
Who is Best ??  1. Kangana 2. Priyanka Chopra,Non-sarcastic
Avara Contol Pannunga Pls...  Vera level expression...  Thala...,Sarcastic
போராடுறது தப்புன்னா போராடுற நிலமைய உருவாக்குனதும் தப்பு தான்   காப்பான்   வேற லெவல் தலைவா,Non-sarcastic
90s kids nanga padam eppada release.....,Non-sarcastic
Thala Ajith sir....mass konjam kammiya irukuravanga like pannunga,Non-sarcastic
நாடக காதல் நடத்தி வரும் இடத்தில் சரியான செருப்படி   கொடுக்கும் திரைப்படம் இது,Non-sarcastic
Family sentiment... Pondatti pullainga... Engayo link aavuthe Sun pictures nalla panringa  THALAIVAR DHARISANAM,Sarcastic
ASURAN trailer .... Kollla massu.... #asuran #dhanush,Sarcastic
Thenavattu movie ku appuram ippodhan jiiva anna  mass acting panni irrukkangga movie blockbuster dhaan,Non-sarcastic
iyyo marana mass Surya Anna Iam waiting for you and movi,Non-sarcastic
Ajith sir act like amitabh in pink,Non-sarcastic
Ipo than enga thala character ku eetha maari titles vatchirukaru..i like myskin,Non-sarcastic
"Kathir:mada yannai kottam kirumi ,pariyerum perumal next jaada super",Non-sarcastic
Dai intha padatha eppada release pannuvangada,Sarcastic
2:01 ( sound missing ) ennada ivlo kodi potu padam eduthurukeenga..itha kooda gavanika maatingala...!,Sarcastic
அரியலூர் மாவட்டம் வீரவன்னியர் மாவீரன் ஜெ. குரு வழியில் இருக்கும் வன்னியர்கள் சார்பில் வாழ்த்துகளை தெரிவிக்கிறோம்,Non-sarcastic
இந்த படம் திரைக்கு வர இறைவனை வேண்டுகிறேன்.,Non-sarcastic
Thala thala tha masss pangam pannitinga thala,Sarcastic
டிரைலர் செம சூப்பர் . Am impressed. Movie வந்தா first day first show தான்,Non-sarcastic
Yo Karthik subburaj yaruya ne yaru Therigavittuda,Sarcastic
Net kinda paarvai theme music semaya irukku,Non-sarcastic
Thalabathy ku pidicha nadigar thala   Enakum thala na romba pidikkum  By Thalabathy veriyan,Non-sarcastic
Ajith sir looks like Hollywood material,Non-sarcastic
"எங்க ஊருல ஒர தேவர் வன்னியர் பொன்ன கூட்டிட்டு வந்தா கீழ் ஜாதினு சொல்லி கழுத்த அருத்த போட்றுவாங்க டா , நீங்க முதல்ல பொன்னு குடுத்து பொன்ன எடுங்க அப்பரம் பாக்கலாம் நீங்க ஆண்ட ஜாதியா இல்ல பேன்ட ஜாதியானு , எல்லா பயலும் சித்தால் , கொத்தனார் வேல பாத்துகிட்டு ஆண்ட ஜாதியாம் தூ......",Non-sarcastic
Nadipen nayagan surya Anna fans hit like ...,Non-sarcastic
This movie plot look like a CONAIR,Sarcastic
V S massssssssss Vera level,Non-sarcastic
Happy new year  Thalaivar padam mass kata pothu,Non-sarcastic
My handsome suriya  epovu maasssss dhan,Non-sarcastic
Waiting to see u Kajal on screen,Non-sarcastic
"அசுரன் படத்தை பாராட்டி ஸ்டாலின் தனக்கு தானே குழி பறித்து கொன்டார், இந்த படத்தை எதிர்த்து வன்முறையை தூண்டுவார்",Non-sarcastic
Inime intha padathula nadicha hero va super star ra ethukita than intha padathu ku neenga kodukura mariyathai. Pada tha kudumpathoda poi theatre la parunga. Culture ra meetu edukura intha mari padatha atharicha adutha thalai murai nala irukum kudumpa manam pogama irukum,Non-sarcastic
10.5 m 3 clock kulla varuma,Sarcastic
Chindhamani kolakkes.   ....like podra,Sarcastic
Wow... trending katirchu...late ah vanthalum latest ah varuvom atha enga thalaivar 🤘🤘🤘 #PettaParaaak,Non-sarcastic
