Text,labels
Screenshot edukkan vannth njan മാത്രമാണോ,Sarcastic
നമ്മുടെ അനു സിത്താര ചേച്ചി ഇങ്ങനെ വരുന്നത് നോക്കി ഇരുന്ന്‌ നിരാശരായി മടങ്ങിയവർ ഇവിടെ come on....,Sarcastic
Mollyhood is getting bigger and bigger,Non-sarcastic
Ho aaa BGM. Mammookka ithu oru pwoli pwolikkum,Non-sarcastic
"Enthaale, sambhavam puraanam aanelum background dancersokke vellakari madamamaarannallo",Sarcastic
Aarenkilum ithinte akathu prithvi undo ennu nokaaan vanno ??,Non-sarcastic
ഉയിരിൽ തൊടും തളിർ  വിരലാവണേ നീ.. അരികേ നടക്കണേ.. അലയും  ചുടുകാറ്റിനു കൂട്ടിണയായ് നാമൊരു നാൾ കിനാക്കുടിലിൽ  ചെന്നണയുമിരുനിലാവലയായ്..  ആരും.. കാണാ… ഹൃദയതാരമതിൽ  ഉരുകി നാമന്നാരും.. കേൾക്കാ… പ്രണയാജാലകഥ  പലവുരു പറയുമോ…  ഉയിരിൽ തൊടും കുളിർ  വിരലായിടാം ഞാൻ..  അരികേ നടന്നിടാം.. അലയും  ചുടുകാറ്റിനു കൂട്ടിണയായ് നാമൊരു നാൾ കിനാക്കുടിലിൽ  ചെന്നണയുമിരുനിലാവലയായ്..  ആരും.. കാണാ… ഹൃദയതാരമതിൽ  ഉരുകി നാമന്നാരും.. കേൾക്കാ… പ്രണയാജാലകഥ  പലവുരു പറയുമോ…  വഴിയോരങ്ങൾ തോറും  തണലായീ പടർച്ചില്ല നീ… കുടയായ് നിവർന്നൂ നീ  നോവാറാതെ തോരാതെ പെയ്‌കേ.. തുഴയോളങ്ങൾ പോൽ നിൻ  കടവത്തോന്നു ഞാൻ തൊട്ടു മെല്ലെ കാറ്റേ ചില്ലയിതിൽ വീശണേ കാറേ ഇലയിതിൽ പെയ്യണേ  മെല്ലെ തീരമിതിലോളങ്ങളോളങ്ങളായി നീ വരൂ…  ഉയിരിൽ തലോടിടും  ഉയിരായിടും നാം..  നാമൊരു നാൾ കിനാക്കടലിൽ  ചെന്നണയുമിരുനിലാനദിയായ്..  ആരും.. കാണാ… ഹൃദയതാരമതിൽ  ഉരുകി നാമന്നാരും.. കേൾക്കാ… പ്രണയാജാലകഥ  പലവുരു തുടരുമോ…,Non-sarcastic
Aiyee.. Trailer satyam paranjal Valya rasamonun illa and I'm a lal fan,Non-sarcastic
Madhura raja theater poyi kandavar like adiche,Non-sarcastic
Mamangam ikka ithre vendu katta waiting,Non-sarcastic
Adukala oru aan kutiye palathum padipikum.....parasyam kand vannavar...,Non-sarcastic
padam boring aayi thonniyille. oru award movie pole und. But good one. paisa kalayan onnum pattilla.,Non-sarcastic
Rajuaattan na miss cheyyunnu. angilum raja return pwolichu. Mommookka thakarkkum.,Non-sarcastic
ദിലീപേട്ടൻ ഉണ്ടോ പടം ഹിറ്റാണ്  All kerala dileep fans hit like button,Non-sarcastic
നല്ല സ്വരമാധുര്യമുള്ള ശബ്ദവും കഴിവുള്ള സംഗീത സംവിധാനവും കോപ്പിലെ ലിറിക്‌സ് കാരണം ഒന്നിനും കൊള്ളാത്ത വേസ്റ്റ് ആയിപ്പോയി . തുടങ്ങി അവസാനം വരെ മൂക്കുത്തി തപ്പിനടക്കലാണ് പാട്ടുമുഴുവനും . കൊറിയോഗ്രഫിയും അവസാനമെത്തിയപ്പോ വെറും ചാടിക്കളി മാത്രമായി !,Sarcastic
"അല്ല.. അറിയാൻ പാടില്ലാത്തോണ്ട് ചോദിക്കുവ്വാ "" നിങ്ങൾക്ക് ഈ വയസും പ്രായവും ഒന്നും ആവുന്നില്ലേ !!!! അന്നും ഇന്നും ചോക്ലേറ്റ് ഹീറോ നിങ്ങള് തന്നെ അച്ചായോ...",Non-sarcastic
Ellarum sradhicho ennariyilla pakshe enikk ee trailer adichappol 10 same trailers vannu ithokke aarude paniyaa,Non-sarcastic
ഈ ഓണത്തിന്റെ  collection ഇട്ടിമാണി(ലാലേട്ടൻ )അങ് എടുത്തു മക്കളെ ലാലേട്ടൻ ഉയിർ,Sarcastic
1989 - Oru Vadakan Veerakadha. 2009 - Kerala Varma Pazhassiraja  2019 - Mamangam  History repeats...  Just one name is enough....MAMMOOTTY.,Non-sarcastic
"പാട്ട് അബദ്ധം, സിനിമ അടിപൊളി ആകുമെന്ന് പ്രതീക്ഷിക്കുന്നു",Sarcastic
"17k view,,,, 108 k like ,   enthoo evideyoo",Non-sarcastic
Tamil fans die mohan lal fans,Non-sarcastic
Ippozhum #1 trending   Ikka enna summava,Non-sarcastic
Pettayile dialogue aanenn thonnaathavar like adikk mavane kollaame vidamaatte,Non-sarcastic
"Kazhinja 3varshathinidayil lalettante nalloru trailer,nalloru padamavatte #ikka fan..trailer ullathu cinemayil kanan sadhikkatte",Non-sarcastic
Nov 21 pakkalaam intha kaaliyude aattathe,Non-sarcastic
Ee padam Mohanlal Cheythaayirunnel Pwolichenne Ennu Thonnunnu ....,Non-sarcastic
Aaahnjonnu mukiyal theeravunna presnam ullu ellathinum,Non-sarcastic
"Nalla subject aanu kumbalangi nights, pakshe direction nanne paali. Ee subject ettavum nannayi direction cheyyan  lijo Jose pallisserykku pattumayirunnu. Madhu vine polulla puthiya payyanmmarkku cheyyan pattiya subject alla kumbalangi",Non-sarcastic
April 12 Again   L.....,Non-sarcastic
ഇങ്ങനെയുള്ള ദുരന്തങ്ങൾക്ക് സപ്പോർട്ട് ചെയ്യുന്ന മലയാളികളെ മണ്ടൻമാർ എന്ന് അല്ലാതെ ഒന്നും വിളിക്കാനില്ല തെല്ലുങ്കൻമാരുടെയും തമിഴൻമാരുടെയും ഡാൻസ് കാണുമ്പോൾ പൂവിട്ട് പൂജിക്കണം,Non-sarcastic
മാമാങ്കം കണ്ടു ചൊറിച്ചിൽ വന്ന എല്ലാ അമ്മായി ഫാന്സിനും വേണ്ടി സമർപ്പിയ്ക്കുന്നു ഇക്ക ചെയ്ത പോലെ ഒരു വേഷം ചെയ്തു കാണിയ്ക്കാൻ പറ ഒരെ ഒരു രായാവിനോട്...കണ്ടി ഇടും കണ്ടി,Non-sarcastic
കേട്ടിട്ടും കേട്ടിട്ടും കൊതിതിരത്ത  പാട്ടാണ് ഈ  ഒരു  സോങ്  miss you daa🥰🥰🥰🥰🥰🥰,Non-sarcastic
Rajuvettandhe direction vere level aayirikkumennu trailer kandappo manasilayi...#romanjification,Non-sarcastic
ചുരുക്കം പട്ങ്ങളെ ആദ്യ ദിനം കാണാറുള്ളൂ .. ഇത് ഉറപ്പിച്ചു,Non-sarcastic
Kopile song.  Lyrics etho 1st std padikuna kutty ezhuthiya pole undu. Pavam sreyagoshal,Sarcastic
Ikaa!!  Velya promotiononum nilkathey abhinayikunna padankal hitakunna maanthrikan !!,Non-sarcastic
Vere level padorikkum location nummadavidernnu padam pwalikkum muttheee shane ikka nummada chukaanu,Non-sarcastic
OMG  lalettaaaa ummmaaaaa rajuvettaaa ningal marana mass anu.,Non-sarcastic
Padam kandu...Average movie...Pokkiri raja far better than Madhura raja....Mammukka and salim kumar kidukki,Non-sarcastic
"Model boys pillerundodaaa adikkada makkale like,,,,,,model school da,,,,ath vere oru vikaaramaanu mone",Non-sarcastic
Aadhyam udukkan oru thuni nokkuu..ennittu mukkuthi nokkam,Sarcastic
PSC ക്ക് പഠിക്കുന്നവരുടെ ഒരു കൂട്ടായ്മയാണ് എന്റെ ചാനൽ..              ചാനലിൽ ദിവസവും കറന്റ് അഫയേഴ്‌സും ചോദ്യങ്ങളും ചർച്ച ചെയ്യുന്നതാണ്.. അപ്പൊ ചാനലിലേക്ക് വന്നോളൂ.. സപ്പോർട്ട് ചെയ്യണേ...,Non-sarcastic
Sha rukh Khan nte fan padam pole undallo,Sarcastic
Edutha vecchathu   nokki  vaayikkunna   pole  undu    dialoges...very  bad    trailer.,Sarcastic
Enna oru feel olla trailer,Non-sarcastic
Njan youtubil new ana enn onnu support cheyumo pls,Non-sarcastic
കൊട്ടാരക്കര യിൽ നിന്നും ഏട്ടന്റെ അനിയന്മാരുടെ വക  ഇരിക്കട്ടെ,Non-sarcastic
രാക്ഷസൻ പോലൊരു സിനിമ മലയാളത്തിൽ വരാൻ എല്ലാ ചാൻസും കാണുന്നു,Non-sarcastic
Enter ettaaaaaaaa ohh onnum parayaan ellaaaaa,Non-sarcastic
ഉണ്ണിയേട്ടന്റെ കണ്ണിലെ തീ കണ്ടാൽ മനസിലാകാം..  ഈ song കഴിഞ്ഞതും ഒരു masskabaappp,Non-sarcastic
Waiting  from  die hard rajuvetan fan..,Non-sarcastic
Padam kandavark eshtta Pettitundakill ethil like addi,Non-sarcastic
നമ്മുടെ സ്വന്തം ട്രെയിലർ മെഗാ സ്റ്റാറിന് എത്ര ലൈക്ക്?,Non-sarcastic
Ithu fan (2016) hindi srk starrer movie pole aakum,Sarcastic
Buildup mathrum avaruthu ... Padam super aya mathiyayirunnu..bros,Non-sarcastic
350 k like um.. 5 M views inum vendi kaathirikunnavar like adik..,Non-sarcastic
കണ്ണോണ്ട് ചൊല്ലണ് മിണ്ടാണ്ട് മിണ്ടണ് പഞ്ചാര പനം തത്ത ദൂരെ  🤭🤭ആഹാ അന്തസ്,Sarcastic
Ee mohanlal padam 150 crore clubil varatee,Non-sarcastic
Etu ettichante vaka sample ane appom sherikkum ullathu enthayirikkum,Non-sarcastic
album തിലെ പാട്ടുകൾ മുഴുവൻ tripping ആണ് മച്ചാനെ!! On repeat mode. പൊളിച്ച്!,Non-sarcastic
Ufffffff ichayaaa pwolich ur die hard fan 4 ever,Non-sarcastic
Thugs of hindhustan film aahn marakar enn paranj kanikkunnath,Non-sarcastic
Raju ettan fansinte watsapp group undenkil pls add me.. My number :7306414962,Non-sarcastic
ആരോ ഒരാളല്ല .. എന്റെ ഏട്ടൻ .My Big Brother 🥰,Non-sarcastic
Trailer thanna atra പോര  പിന്നെ cinemeyda karyam parayano,Non-sarcastic
vere level trailer and bgm gopi sunder musical,Non-sarcastic
ആരോ ഒരാളല്ല ...എന്റെ ഏട്ടൻ 🧡🧡🧡 my big brother 🧡🧡🧡,Non-sarcastic
Angane july month ile ende aadyathe leave njan angu edukuva July 5 nu,Non-sarcastic
ഈ പടം ഷൂട്ട് ചെയ്ത മിക്ക സീനും കൊടുങ്ങല്ലൂർ കോട്ടപ്പുറം മാർക്കറ്റിലും പരിസരത്തും ആയാണ് .ഞാനടക്കമുള്ള നാട്ടുകാരുടെ എല്ലാവിധ ആശംസകളും,Non-sarcastic
Vijay babuvinu pakaram vere actor aayrnnenkil perfect aayene,Non-sarcastic
വന്നു വന്നു വരികൾവരെ ദരിദ്രമായി  പോയി മലയാള സിനിമയുടെ ഒരു അവസ്ഥയെ. 🤯,Sarcastic
Joju Jorge & Chemban Vinod,Non-sarcastic
Katta ikka fansinu like adikkan ulla comment,Non-sarcastic
Immathiri mass  Last aa chadi idi super Ethu polikkum  Ikka um pillareum triple  Strong aaa,Non-sarcastic
ദയവു ചെയ്തു ആരും ഈ ദുരന്തത്തിന് തലവെക്കരുത്. അപേക്ഷയാണ്. ചിറകൊടിഞ്ഞ കിനാവുകൾ.,Non-sarcastic
ഇതൊക്കെ സ്കൂൾ പിള്ളേരോട് പോയി പറ സാറെ ആരോ ഒരാളല്ല എന്റെ ഏട്ടൻ my big brothor 🤩🥰എന്റെ അമ്മോ രോമാഞ്ചം,Non-sarcastic
കമന്റ്‌ ബോക്സിൽ രാക്ഷസൻ സിനിമ പോലെ ആയിരിക്കണമെന്ന് കമന്റ്‌ ചെയുമ്പോൾ അതിനു മുൻപ് നമ്മളെ അമ്പരിപ്പിച്ച psyco thriller movie മെമ്മറീസിനെ ഓർത്താൽ കൊള്ളാം,Sarcastic
Trailer views kurava...ennalum trailor kandavar aarum thrilling akathirikkoola...,Non-sarcastic
Pora evdkyo Kanda pole ulla story,Sarcastic
Status Videos Mathramulla channel aanu,Non-sarcastic
1.49 bgm started... Bgm nu vendi wait chythu irikkunavar like adikk,Non-sarcastic
Anthoke erakiyaaalum degrade cheyaan alukalum kalla print erakaan kure uulakalum ulladatholam kaalam ekkada padam vijayikaan paadaaanu..,Non-sarcastic
എന്റെ പൊന്നു പാപ്പാൻ ചേട്ടാ ഒന്നു വേഗത്തിൽ വിട്യോ....ഈ ഓണത്തിന് എറക്കാനുള്ളേണ്.... <3 <3 :*,Non-sarcastic
Mammukka cheyyendath lal cheydu atre ullu rasam,Non-sarcastic
Kerala die hard mohanlal fans like here,Non-sarcastic
"വാക്കുകൾ കൊണ്ടു പറഞ്ഞു പൂർത്തിയാക്കാൻ പറ്റാത്ത കലാപ്രേമി ..ഫാൻസ്കാരും , സിനിമ പ്രേമികളും മമ്മൂട്ടി എന്ന ഈ അഭിനേതാവിനെ സ്നേഹിക്കുന്നതിനേക്കാൾ  കൂടുതൽ  സിനിമയെന്ന തന്റെ വികാരത്തെ (passion) സ്നേഹിക്കുന്ന ലോകത്തിലെ ഒരേ ഒരു വെക്തി ....അതാണ് ഇങ്ങേര് (മമ്മൂട്ടി sir)",Non-sarcastic
Uff  ikkaaaaaa ..... Subscribe to my channel all ikka fans,Non-sarcastic
Ente ponnu...kiduve...🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰 Ikkkkaaaa       Kidu.bgm🥰🥰🥰,Non-sarcastic
Dae Ajithaaa copy adikathada Mohan Lal,Sarcastic
പറയാതെ വയ്യ കിടിലൻ ട്രൈലെർ..  FDFS waiting  മൊത്തത്തിൽ ഒരു കൊറിയൻ മണം അടിക്കുന്നുണ്ടല്ലോ,Non-sarcastic
Waiting aane pettanne 8 mani aayaal kullamaayirunnu allae,Non-sarcastic
tovino mass avum ennu urappullavar ivade come on,Non-sarcastic
ഈ പാട്ടു അടിപൊളി ആണ് ട്ടോ പിള്ളേരെ പൊരിച്ചു കുടുക്കി കലക്കി,Non-sarcastic
Enta ponna.... laletta. Nigal masalla marana masss,Non-sarcastic
Ee movie hit ayii Anne mansilyavar Matram like adikke,Non-sarcastic
TRAILER VERE LEVEL ... ITH PWLIKKM,Non-sarcastic
"Enik veyya,parava pole school love feeling Kitti,polikatte",Non-sarcastic
ഞങ്ങ ഇ പടം ഏറ്റ് എടുക്കുവാട്ട...  royal mech,Non-sarcastic
Eattante pooram kazhinjaal...ikkayude kodiyett... Lalettanum mammookkaykkum pakaram vekkaaan aaarumillaaaa....,Non-sarcastic
ആ സിനിമയുടെ പേര് കൊള്ളാം ഇത് ദിലീപിന് ഉദ്ദേശിച്ചാണ് അയാളെ  മാത്രം ഉദ്ദേശിച്ചാണ് ഈ പേരിട്ടത്,Non-sarcastic
Once a king is always a king....  Mammukka,Non-sarcastic
YouTube logic 66k likes + 6.3k dislikes = 16k views.. myr,Non-sarcastic
ithenthaa ithinidaikk illuminati symbol okke thalli ketyekkunnallo... Lucifer pidikkan nokkunnathaavum...,Sarcastic
Avan cheriya pulli alla padicha kalanna stephen nedumpally,Non-sarcastic
Super ട്രീസർ അടിപൊളി ഒന്നഒന്നര വരവായി കാത്തിരികാം ശെലോക്നെ,Non-sarcastic
Views 25k aayitolu.. but like 77k  youtubine vattayo...,Non-sarcastic
Dislike adicha pullanmarude mugathulla adiyavatte oro likum,Sarcastic
Super star rajini sir fans hit likes,Non-sarcastic
ഉയിരിൽ തൊടും തളിർ വിരലാവണേ നീ അരികേ നടക്കണേ അലയും ചുടുകാറ്റിനു കൂട്ടിണയായ് നാമൊരു നാൾ കിനാക്കുടിലിൽ ചെന്നണയുമിരുനിലാവലയായ്  ആരും കാണാ ഹൃദയതാരമതിൽ ഉരുകി നാമന്നാരും കേൾക്കാ പ്രണയാജാലകഥ പലവുരു പറയുമോ  ഉയിരിൽ തൊടും കുളിർ വിരലായിടാം ഞാൻ അരികേ നടന്നിടാം അലയും ചുടുകാറ്റിനു കൂട്ടിണയായ് നാമൊരു നാൾ കിനാക്കുടിലിൽ  ചെന്നണയുമിരുനിലാവലയായ് ആരും കാണാ ഹൃദയതാരമതിൽ ഉരുകി നാമന്നാരും കേൾക്കാ പ്രണയാജാലകഥ  പലവുരു പറയുമോ  വഴിയോരങ്ങൾ തോറും തണലായീ പടർച്ചില്ല നീ കുടയായ് നിവർന്നൂ നീ നോവാറാതെ തോരാതെ പെയ്കേ തുഴയോളങ്ങൾ പോൽ നിൻ കടവത്തോന്നു ഞാൻ തൊട്ടു മെല്ലെ കാറ്റേ…  Translate to English,Non-sarcastic
Oru 10 pravishyM kandu ttaa rashidheee Chayim kadim marakkanda,Non-sarcastic
MEGA .,Non-sarcastic
Prithvi inta kadha pola undalla kurch...,Non-sarcastic
E songinu vendi Katta waiting ayrnnavar like adi🤩,Non-sarcastic
Ravanan aya avane illathakkan oru avatharam vendi varum...ikkaa,Non-sarcastic
Idi vettu sugunan illatathu valare moshamayi poyi...,Non-sarcastic
ഉണ്ണി മുകുന്ദനാണോ മൂക്കുത്തി കട്ടത്... ലക്ഷണം കണ്ടിട്ട് അത് പോലെ???,Sarcastic
.     No caption required,Sarcastic
ശ്വാസം അടക്കി പിടിച്ചു കണ്ടവർ ഉണ്ടോ.  കിടിലോൽസ്കി item,Non-sarcastic
Ethilum betham gopi sunderaa kayamkulamkochunni enna movie songs nallathayirunnu,Sarcastic
Ini 8 mani vare...clock nooki irikkanm,Non-sarcastic
Moothon nivininte career best aavumennullavar ivide like,Non-sarcastic
"ഇജ്ജാതി ട്രൈലെർ. FDFS ഉറപ്പിച്ചു. ജോജോ ചേട്ടൻ, ജോഷി സർ",Non-sarcastic
Looks like a solid entertainer .,Non-sarcastic
"LALETTAAA MUTHEE POLICHU, KATTA WAITING FOR RELEASE",Non-sarcastic
"Kgf kaanada ,bahubali telugu ,malayalam ........LUCIfer",Non-sarcastic
Basha ta tara ta ttta tta basha polund,Non-sarcastic
"Pazhaya stand,baker junction and aakasapatha identified",Non-sarcastic
I am waiting for kappan Moganla and Surya,Non-sarcastic
ivaruku ivlo age nu sonna evan nambuvan,Non-sarcastic
Enthenne aayalum oru rakshayumilla kidukki mass,Non-sarcastic
I watched odiyan in toronto..romba nalla irundudu movie naan laletaan sema trim aa irundaaru..nice attempt.,Non-sarcastic
Mookuthi kaanathe poya sankadathil dance kalikkunna oru paavam pennite kadhana Katha,Sarcastic
Enna looks ikkaaaa. U r really maaaassss. Heavy film. Romaanjification at the peak.,Non-sarcastic
അടിപൊളി... മൂവി... joju chettan chemban വിനോദ് chettan🤩  Nyla usha chechi,Non-sarcastic
lalettan rocks  thanks rajuetta  LUCIFER loading,Non-sarcastic
Adipwoli film onnum parayanillaa hooo Fahad um shain um ente ponnoooo,Non-sarcastic
LYRICS  LISTEN  ഉയിരിൽ തൊടും തളിർ വിരലാവണേ നീ അരികേ നടക്കണേ അലയും ചുടുകാറ്റിനു കൂട്ടിണയായ് നാമൊരു നാൾ കിനാക്കുടിലിൽ ചെന്നണയുമിരുനിലാവലയായ്  ആരും കാണാ ഹൃദയതാരമതിൽ ഉരുകി നാമന്നാരും കേൾക്കാ പ്രണയാജാലകഥ പലവുരു പറയുമോ  ഉയിരിൽ തൊടും കുളിർ വിരലായിടാം ഞാൻ അരികേ നടന്നിടാം അലയും ചുടുകാറ്റിനു കൂട്ടിണയായ് നാമൊരു നാൾ കിനാക്കുടിലിൽ  ചെന്നണയുമിരുനിലാവലയായ് ആരും കാണാ ഹൃദയതാരമതിൽ ഉരുകി നാമന്നാരും കേൾക്കാ പ്രണയാജാലകഥ  പലവുരു പറയുമോ  വഴിയോരങ്ങൾ തോറും തണലായീ പടർച്ചില്ല നീ കുടയായ് നിവർന്നൂ നീ നോവാറാതെ തോരാതെ പെയ്കേ തുഴയോളങ്ങൾ പോൽ നിൻ കടവത്തോന്നു ഞാൻ തൊട്ടു മെല്ലെ കാറ്റേ ചില്ലയിതിൽ വീശണേ  കാറേ ഇലയിതിൽ പെയ്യണേ മെല്ലെ തീരമിതിലോളങ്ങളോളങ്ങളായി നീ വരൂ ഉയിരിൽ തലോടിടും ഉയിരായിടും നാം നാമൊരു നാൾ കിനാക്കടലിൽ ചെന്നണയുമിരുനിലാനദിയായ് ആരും കാണാ ഹൃദയതാരമതിൽ ഉരുകി നാമന്നാരും കേൾക്കാ പ്രണയാജാലകഥ പലവുരു തുടരുമോ,Non-sarcastic
ഏട്ടാ......  മാസ്സ്....  ...  വയ്യ....  പൊളി ആണ്......  no.  Words...... luv ഒരു ആയിരം ummmmaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,Non-sarcastic
Best Actor' Film Feeling......I love mammokka,Non-sarcastic
രായപ്പൻ ഫാൻസ് ഉണ്ടോ? അഹങ്കാരം തലക്ക് പിടിച്ചവനല്ലേ ഇവൻ. ചെമ്പോർകിനി,Non-sarcastic
Jayachettan keeee jayi.... Love u etta....,Non-sarcastic
"Jimki kammal ayi,mukkuthim ayi,aduthath enthanoo avooo..malayalikale mandanmarakkan patiila",Sarcastic
ഇക്ക  സ്വയം  വില  കളഞ്ഞു  കൊണ്ടുള്ള  വേഷം  ചെയ്യരുത്,Sarcastic
ആരോ ഒരാൾ അല്ല വന്നത് എന്റെ ഏട്ടനാ my big brother,Non-sarcastic
Dislike adichavarkk ente vaka naduviral namskaaram,Non-sarcastic
Maraykkarum mamangavum oru pole kaathirikkunnavar like,Non-sarcastic
Mukkuthi kaanathathinu baaki ellathum ingane kanikkanoo,Sarcastic
Ini ore vijayiyum keralathil vanne negalikkan padilla,Non-sarcastic
Ini filminte karyam enthavuo .ith kandit pokkanna thonnanath,Sarcastic
Ittimaniyil... LOVE und.... ACTION  illa....DRAMA und... Movie bore adipikilla..Poi.. Kandu.. Istapetu...,Non-sarcastic
I like both Mammuka and Lalettan evenly🤗,Non-sarcastic
Ee filminu vendi mathram channel enthinanennu enniku manasilayittillla,Non-sarcastic
173 k likes 173 k views,Non-sarcastic
"മൊയ്തീനെ..... ദേ ...ഒരു തത്തുമ്മ പറന്ന് പറന്ന് പോണ്""",Sarcastic
Aiwa ippozha enik pattiya padam irangiye,Non-sarcastic
Mohanlal looks like as he was in jilla....,Non-sarcastic
മമ്മുക്കയുടെ  ഡയലോഗ്  ഒന്ന് കേൾക്കു രോമാഞ്ചം,Non-sarcastic
"Very poor action and BGM ,  Story enkilum pratheekshikunnu , inni athum pandathe kettu pazhakiya katha vallom anenkil padam moonjum",Sarcastic
Anu sithara entha kanikatheaa .Oru pic engilum kanikum eee movieyil  ...,Sarcastic
Katta waiting lalettaaaaa2' nd on trending kuwait,Non-sarcastic
ഒരു കാലഘട്ടം പറയുന്ന സിനിമ എന്ന് പറഞ്ഞിട്ട് .... പതിവ് ഗുണ്ട് പടത്തിലെ  പാട്ട് പോലെ ... വളരെ  മോശം.. ആകെ മെച്ചം ലൈറ്റിംങ്ങ് മാത്രം .,Sarcastic
@FURA.  u Rockit Man.  KASARAGOD,Non-sarcastic
